Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/10/2020,02/01/2020,06/06/2020,United States,All,Under 1 year,5,"5,732",49,1,13,66,
06/10/2020,02/01/2020,06/06/2020,United States,All,1-4 years,3,"1,109",44,2,40,85,
06/10/2020,02/01/2020,06/06/2020,United States,All,5-14 years,13,"1,638",55,3,46,111,
06/10/2020,02/01/2020,06/06/2020,United States,All,15-24 years,116,"10,141",211,38,50,335,
06/10/2020,02/01/2020,06/06/2020,United States,All,25-34 years,640,"21,548",764,281,143,"1,253",
06/10/2020,02/01/2020,06/06/2020,United States,All,35-44 years,"1,649","31,028","1,772",694,231,"2,933",
06/10/2020,02/01/2020,06/06/2020,United States,All,45-54 years,"4,588","58,956","4,667","2,001",556,"7,709",
06/10/2020,02/01/2020,06/06/2020,United States,All,55-64 years,"11,439","139,380","13,167","5,214","1,185","20,369",
06/10/2020,02/01/2020,06/06/2020,United States,All,65-74 years,"19,857","214,427","22,755","9,109","1,391","34,670",
06/10/2020,02/01/2020,06/06/2020,United States,All,75-84 years,"25,520","267,201","29,259","11,475","1,412","44,524",
06/10/2020,02/01/2020,06/06/2020,United States,All,85 years and over,"31,778","340,096","34,090","12,820","1,323","54,210",
06/10/2020,02/01/2020,06/06/2020,United States,All,All Ages,"95,608","1,091,256","106,833","41,638","6,390","166,265",
06/10/2020,02/01/2020,06/06/2020,United States,Male,Under 1 year,3,"3,201",34,1,7,43,
06/10/2020,02/01/2020,06/06/2020,United States,Male,1-4 years,1,629,22,1,24,46,
06/10/2020,02/01/2020,06/06/2020,United States,Male,5-14 years,11,988,27,3,19,54,
06/10/2020,02/01/2020,06/06/2020,United States,Male,15-24 years,72,"7,500",128,21,26,202,
06/10/2020,02/01/2020,06/06/2020,United States,Male,25-34 years,433,"15,040",475,196,73,776,
06/10/2020,02/01/2020,06/06/2020,United States,Male,35-44 years,"1,184","20,336","1,153",498,120,"1,940",
06/10/2020,02/01/2020,06/06/2020,United States,Male,45-54 years,"3,236","36,893","2,951","1,431",327,"5,014",
06/10/2020,02/01/2020,06/06/2020,United States,Male,55-64 years,"7,558","85,610","8,020","3,409",674,"12,701",
06/10/2020,02/01/2020,06/06/2020,United States,Male,65-74 years,"12,375","124,388","13,563","5,671",771,"20,894",
06/10/2020,02/01/2020,06/06/2020,United States,Male,75-84 years,"14,018","138,788","16,225","6,404",695,"24,427",
06/10/2020,02/01/2020,06/06/2020,United States,Male,85 years and over,"12,506","131,137","14,859","5,458",537,"22,367",
06/10/2020,02/01/2020,06/06/2020,United States,Male,All ages,"51,397","564,510","57,457","23,093","3,273","88,464",
06/10/2020,02/01/2020,06/06/2020,United States,Female,Under 1 year,2,"2,522",15,0,6,23,
06/10/2020,02/01/2020,06/06/2020,United States,Female,1-4 years,2,480,22,1,16,39,
06/10/2020,02/01/2020,06/06/2020,United States,Female,5-14 years,2,650,28,0,27,57,
06/10/2020,02/01/2020,06/06/2020,United States,Female,15-24 years,44,"2,640",83,17,24,133,
06/10/2020,02/01/2020,06/06/2020,United States,Female,25-34 years,207,"6,507",289,85,70,477,
06/10/2020,02/01/2020,06/06/2020,United States,Female,35-44 years,465,"10,690",619,196,111,993,
06/10/2020,02/01/2020,06/06/2020,United States,Female,45-54 years,"1,352","22,061","1,716",570,229,"2,695",
06/10/2020,02/01/2020,06/06/2020,United States,Female,55-64 years,"3,881","53,767","5,146","1,805",511,"7,667",
06/10/2020,02/01/2020,06/06/2020,United States,Female,65-74 years,"7,482","90,033","9,192","3,438",620,"13,776",
06/10/2020,02/01/2020,06/06/2020,United States,Female,75-84 years,"11,501","128,408","13,033","5,070",717,"20,096",
