Date,New Cases,Total Cases,New Deaths,Total Deaths,Active,New Recoveries,Total Recoveries
15/02/2020,0,3,0,0,0,0,0
16/02/2020,0,3,0,0,0,0,0
17/02/2020,0,3,0,0,0,0,0
18/02/2020,0,3,0,0,0,0,0
19/02/2020,0,3,0,0,0,0,0
20/02/2020,0,3,0,0,0,0,0
21/02/2020,0,3,0,0,0,0,0
22/02/2020,0,3,0,0,0,0,0
23/02/2020,0,3,0,0,0,0,0
24/02/2020,0,3,0,0,0,0,0
25/02/2020,0,3,0,0,0,0,0
26/02/2020,0,3,0,0,0,0,0
27/02/2020,0,3,0,0,0,0,0
28/02/2020,0,3,0,0,0,0,0
29/02/2020,0,3,0,0,0,0,0
01/03/2020,0,3,0,0,0,0,0
02/03/2020,3,6,0,0,3,0,0
03/03/2020,1,7,0,0,4,0,0
04/03/2020,22,29,0,0,26,0,0
05/03/2020,1,30,0,0,27,0,0
06/03/2020,1,31,0,0,28,0,0
07/03/2020,3,34,0,0,31,0,0
08/03/2020,6,40,0,0,37,0,0
09/03/2020,7,47,0,0,43,1,1
10/03/2020,15,62,0,0,58,0,1
11/03/2020,0,62,0,0,58,0,1
12/03/2020,12,74,1,1,69,0,1
13/03/2020,8,82,1,2,70,6,7
14/03/2020,18,100,0,2,88,0,7
15/03/2020,14,114,0,2,99,3,10
16/03/2020,15,129,0,2,114,0,10
17/03/2020,14,143,1,3,126,1,11
18/03/2020,26,169,0,3,152,0,11
19/03/2020,25,194,1,4,170,6,17
20/03/2020,55,249,1,5,221,3,20
21/03/2020,83,332,0,5,304,0,20
22/03/2020,64,396,2,7,365,1,21
23/03/2020,103,499,3,10,455,10,31
24/03/2020,37,536,0,10,486,6,37
25/03/2020,121,657,2,12,602,3,40
26/03/2020,70,727,8,20,662,2,42
27/03/2020,160,887,0,20,794,28,70
28/03/2020,100,987,4,24,879,11,81
29/03/2020,37,1024,3,27,902,11,92
30/03/2020,227,1251,5,32,1117,7,99
31/03/2020,146,1397,3,35,1239,21,120
01/04/2020,601,1998,23,58,1792,25,145
02/04/2020,545,2543,14,72,2280,43,188
03/04/2020,516,3059,14,86,2781,1,189
04/04/2020,529,3588,13,99,3260,37,226
05/04/2020,701,4289,19,118,3843,99,325
06/04/2020,489,4778,18,136,4267,47,372
07/04/2020,573,5351,24,160,4723,93,465
08/04/2020,565,5916,18,178,5232,38,503
09/04/2020,809,6725,49,227,5863,129,632
10/04/2020,875,7600,22,249,6577,139,771
11/04/2020,846,8446,39,288,7189,195,966
12/04/2020,759,9205,43,331,7794,111,1077
13/04/2020,1248,10453,27,358,8914,101,1178
14/04/2020,1034,11487,35,393,9735,178,1356
15/04/2020,883,12370,29,422,10440,149,1505
16/04/2020,1060,13430,26,448,11214,260,1765
17/04/2020,922,14352,38,486,11825,273,2038
18/04/2020,2013,16365,35,521,13381,422,2460
19/04/2020,1250,17615,38,559,14202,391,2851
20/04/2020,924,18539,33,592,14674,419,3270
21/04/2020,1541,20080,53,645,15460,702,3972
22/04/2020,1290,21370,36,681,16319,395,4367
23/04/2020,1669,23039,40,721,17306,642,5009
24/04/2020,1408,24447,59,780,18171,484,5493
25/04/2020,1836,26283,45,825,19519,443,5936
26/04/2020,1607,27890,56,881,20486,584,6520
27/04/2020,1561,29451,58,939,21375,614,7134
28/04/2020,1873,31324,69,1008,22569,610,7744
29/04/2020,1738,33062,71,1079,23546,690,8434
30/04/2020,1801,34863,75,1154,24641,631,9065
01/05/2020,2394,37257,69,1223,26027,939,10004
02/05/2020,2442,39699,100,1323,27557,812,10816
03/05/2020,2806,42505,68,1391,29339,956,11772
04/05/2020,3932,46437,175,1566,32024,1072,12844
05/05/2020,2963,49400,127,1693,33565,1295,14139
06/05/2020,3587,52987,92,1785,35871,1189,15328
07/05/2020,3364,56351,104,1889,37686,1445,16773
08/05/2020,3344,59695,96,1985,39823,1111,17884
09/05/2020,3113,62808,116,2101,41406,1414,19298
10/05/2020,4353,67161,111,2212,43980,1668,20966
11/05/2020,3607,70768,82,2294,45925,1580,22546
12/05/2020,3524,74292,121,2415,47457,1871,24417
13/05/2020,3763,78055,136,2551,49104,1980,26397
14/05/2020,3942,81997,98,2649,51379,1569,27966
15/05/2020,3787,85784,104,2753,52773,2289,30255
16/05/2020,4864,90648,118,2871,53553,3966,34221
17/05/2020,5050,95698,154,3025,55878,2571,36792
18/05/2020,4630,100328,131,3156,57939,2438,39230
19/05/2020,6147,106475,146,3302,60864,3076,42306
20/05/2020,5553,112028,132,3434,63172,3113,45419
21/05/2020,6198,118226,150,3584,66089,3131,48550
22/05/2020,6568,124794,142,3726,69244,3271,51821
23/05/2020,6629,131423,142,3868,73170,2561,54382
24/05/2020,7113,138536,156,4024,76820,3307,57689
25/05/2020,6414,144950,148,4172,80072,3014,60703
26/05/2020,5843,150793,172,4344,82172,3571,64274
27/05/2020,7293,158086,190,4534,85803,3472,67746
28/05/2020,7300,165386,177,4711,89755,3171,70917
